brand,product_name,var,starting_price
Tory Burch,Tory Burch Mini Ella Bio Tote,"{'clay', 'gray', 'light sand', 'black', 'warm white'}",260.0
rag & bone,rag & bone Gramercy Medium Satchel Bag,"{'chocolate', 'black'}",458.0
COACH,COACH Willow Polished Pebble Leather Shoulder Bag,"{'black', 'chalk'}",395.0
NAGHEDI,NAGHEDI Nomad Hobo,"{'ecru', 'celadon', 'cashmere', 'onyx', 'chocolate', 'ink blue'}",315.0
COACH,COACH Woven Leather Swing Tote,"{'black', 'maple'}",495.0
HOBO,HOBO Medium Sheila Satchel,"{'coffee galaxy', 'black', 'truffle'}",298.0
Tod's,Tod's Medium Shopping Tote,"{'nero', 'kenia scuro', 'bianco calce', 'lenticchia'}",2495.0
Madewell,Madewell The Essential Bucket Tote,"{'true black', 'chocolate raisin'}",198.0
Mulberry,Mulberry Bayswater Grained Leather Satchel,"{'black cherry', 'black/ brass', 'oak', 'rust'}",1495.0
AllSaints,AllSaints Large Tierra Canvas Tote Bag,"{'black/ white', 'taupe/ jet black'}",59.0
Etro,Etro Belted Suede Hobo Bag,"{'sand', 'dark brown'}",2150.0
STAUD,STAUD Maude Leather Shoulder Bag,"{'black', 'cream'}",395.0
Cult Gaia,Cult Gaia Kazia Nano Leather Crossbody Bag,"{'sand dollar', 'rosemary', 'black', 'pecan'}",398.0
Dolce Vita,Dolce Vita Bree Shoulder Bag,"{'cocoa', 'camel', 'leopard'}",248.0
HOBO,HOBO Kori Leather Crossbody Bag,"{'black', 'warm honey'}",238.0
JW PEI,JW PEI Dara Faux Suede Hobo Bag,"{'mocha brown', 'black', 'yellowish brown'}",99.0
NAGHEDI,NAGHEDI Medium Gramercy Bucket Bag,"{'cashmere', 'onyx', 'chocolate'}",285.0
Dune London,Dune London Darling Matelassé Suede Crossbody Bag,"{'bronze', 'tan', 'burgundy', 'dark brown'}",220.0
COACH,COACH Tabby 20 Quilted Shoulder Bag,"{'b4/ black', 'black', 'v5/black', 'b4/chalk'}",395.0
Marc Jacobs,Marc Jacobs The Leather Small Tote Bag,"{'camel', 'true red', 'ribbon pink', 'bow pink', 'barrier reef', 'orchid haze', 'cotton/ silver', 'black', 'blue sea'}",395.0
Mansur Gavriel,Mansur Gavriel Gaia Leather Shoulder Bag,"{'crema', 'black/ flamma', 'chocolate/ warm grey', 'caramel', 'orchidea/ desert', 'claret'}",395.0
MCM,MCM Medium Liz Reversible Shopper,"{'cognac', 'white', 'black', 'beige+black logo'}",730.0
DeMellier,DeMellier New York Leather East/West Midi Tote,"{'mocha', 'deep olive', 'black'}",595.0
Tory Burch,Tory Burch Kira Mini Diamond Quilted Leather Crossbody Bag,"{'taupe oak', 'black', 'warm white'}",390.0
Rebecca Minkoff,Rebecca Minkoff Megan Leather Tote,"{'stone', 'black', 'caramello/ caramello'}",248.0
COACH,COACH Hamptons Hobo Bag,"{'lh/maple', 'lh/black'}",295.0
Saint Laurent,Saint Laurent Large Le 5 À 7 Leather Hobo Bag,"{'bleu abysse', 'strong moss'}",3100.0
Oryany,Oryany Lottie Leather Saddle Crossbody Bag,"{'kelly green', 'yellow', 'toffee tan', 'red', 'dark chocolate', 'maroon', 'deep green', 'space blue', 'taupe', 'black', 'grey', 'vintage pink', 'olive'}",248.0
Tory Burch,Tory Burch Virgina Nylon Shoulder Bag,"{'shale rock', 'black', 'pink'}",260.0
Tory Burch,Tory Burch Kira Chevron Crossbody,"{'apricot', 'black'}",398.0
Mansur Gavriel,Mansur Gavriel Candy Pebbled Leather Shoulder Bag,"{'avorio', 'elefante', 'black'}",695.0
MCM,MCM Crossbody Pouch in Visetos Original,"{'pink', 'blue'}",490.0
Strathberry,Strathberry Mini Croc Embossed Leather Tote,"{'burgundy', 'bottle green'}",595.0
Mulberry,Mulberry Small Amberley Leather Satchel,"{'night sky', 'black', 'cashmere taupe', 'brighton blue'}",1095.0
Kurt Geiger London,Kurt Geiger London Small Southbank Tote,"{'blk/other', 'beige multi'}",175.0
COACH,COACH Tabby 26 Leather Shoulder Bag,"{'merlot', 'maple'}",450.0
Tory Burch,Tory Burch Romy Suede Bucket Bag,"{'caramel', 'deep olive'}",395.0
Marc Jacobs,Marc Jacobs The Snapshot Pochette Bag,"{'camel multi', 'siren red', 'blue multi', 'rose multi', 'black'}",195.0
Chloé,Chloé Mini Horse Medal Leather Shoulder Bag,"{'boyish brown', 'black'}",1290.0
MAISON de SABRÉ,MAISON de SABRÉ Leather Trifold Wallet,"{'pecan nude', 'graphite sky', 'hello kitty', 'fuchsia lavender', 'emerald lily', 'rouge noir'}",159.0
The Sak,The Sak Los Feliz Hobo Leather Bag,"{'meadow', 'scarlet suede', 'mushroom suede', 'stone', 'black', 'aubergine suede', 'indigo suede', 'maritime', 'moss suede', 'sand', 'sand suede', 'dark silver', 'meadow suede', 'indigo'}",189.0
Bogg Bag,Bogg Bag Original Boggs Tote Bag,"{'turquoise and caicos', 'haute pink', 'blowing pink bubbles', 'citrus sorbet', 'blue skies and bogg bag'}",90.0
NAGHEDI,NAGHEDI Jetsetter Small Tote,"{'onyx', 'ecru', 'olive'}",325.0
MAISON de SABRÉ,MAISON de SABRÉ The SABREMOJI Fruit Charm,"{'orange', 'peach'}",75.0
Marc Jacobs,Marc Jacobs The Canvas Travel Tote Bag,"{'beige', 'black', 'blue sea'}",295.0
Chloé,Chloé Medium Woody Linen Tote,"{'white - brown 1', 'cement pink'}",1390.0
Tory Burch,Tory Burch Small Romy Leather Shoulder Bag,"{'tiramisu', 'deep brown', 'black', 'light cream'}",295.0
Marc Jacobs,Marc Jacobs The Snapshot DTM Bag,"{'black', 'khaki'}",325.0
STAUD,STAUD Tommy Beaded Shoulder Bag,"{'california aster', 'crudite', 'beach bums', 'strawberry dream', 'staudines blue', 'tomato', 'staudines', 'montauk stripe'}",295.0
JW PEI,JW PEI Lily Faux Leather Shoulder Bag,"{'brown', 'black'}",69.0
MANGO,MANGO Mini Crochet Crossbody Bag,"{'beige', 'chocolate'}",69.99
TUMI,TUMI Voyageur Teghan Crossbody Bag,"{'mink', 'wine'}",295.0
Olga Berg,Olga Berg Ellie Crystal Mesh Bag,"{'champagne', 'black', 'silver'}",115.0
Tory Burch,Tory Burch Kira Turnlock Leather Convertible Shoulder Bag,"{'black', 'warm teal'}",495.0
NAGHEDI,NAGHEDI Medium Soho Envelope Crossbody Bag,"{'cashmere', 'onyx'}",265.0
Kate Spade New York,Kate Spade New York duo pebble leather crossbody bag,"{'cinder grey', 'dried thyme', 'black', 'burnt sage', 'cashew milk'}",298.0
Kate Spade New York,Kate Spade New York liv pebble leather convertible shoulder bag,"{'black', 'cinder grey', 'warm acorn'}",298.0
The Sak,The Sak Tess Shoulder Bag Leather,"{'dark silver', 'black', 'indigo'}",129.0
MODA LUXE,MODA LUXE Isadora Bucket Bag,"{'ice blue', 'natural', 'ivory', 'chocolate', 'black'}",100.0
TOTEME,TOTEME T-Lock Curve Shoulder Bag,"{'black', 'camel'}",1390.0
rag & bone,rag & bone Alix Suede Tote,"{'clay', 'garnet'}",478.0
Olga Berg,Olga Berg Everly Handwoven Faux Leather Frame Clutch,"{'white', 'silver', 'natural', 'gold', 'tangerine', 'black'}",139.0
Mansur Gavriel,Mansur Gavriel Candy Baguette Leather Shoulder Bag,"{'warm grey', 'chocolate', 'black', 'oxblood'}",595.0
Kate Spade New York,Kate Spade New York large deco pebble leather satchel,"{'blackberry jam', 'timeless taupe', 'black', 'burnt sage'}",478.0
Clare V.,Clare V. Petit Moyen Woven Messenger Bag,"{'natural woven checker', 'fern mist woven checker', 'green apple multi woven checke', 'army rattan', 'snapdragon woven checker', 'cream woven checker'}",385.0
MZ Wallace,MZ Wallace Small Metro Quilted Nylon Camera Bag,"{'dawn', 'bright cherry', 'buff', 'black', 'magnet'}",185.0
